sample.id	x_Cl.adj	x_NO3.adj	x_SO4.adj	x_Na.adj	x_K.adj	x_Ca.adj	x_Mg.adj	fe_Ca	fe_Mg	fe_Na	fe_K	w_Cl.f	w_NO3.f	w_SO4.f	w_Na.f	w_K.f	w_Ca.f	w_Mg.f	w_tot.f	w_tot.adj.w_CaSO4	w_CaSO4	w_tot.adj	w_Na.K.adj	w_Ca.adj	w_CO3.h
IRPA-000014	0.068468902	0.377925622	0.126686405	0.069033929	0.08503688	0	0.272848262	0.111248277	0	0	0	0.000102105	0.000985684	0.000511913	6.68E-05	0.000139853	0	0.000278947	0.00208526	0.085842824	0.082720805	0.003122019	0	0.003122019	0
IRPA-000015	0.043865898	0.156809764	0.237362285	0.286151602	0.162372272	0	0.113438179	0.513975801	0	0	0	4.51E-05	0.000281868	0.000661026	0.000190711	0.000184042	0	7.99E-05	0.001442659	0.006159132	0.004380498	0.001778634	0	0.001778634	0
IRPA-000016	0.057543147	0.302694645	0.157322114	0.080670667	0.209327502	0	0.192441926	0.54417895	0	0	0	2.15E-05	0.000197579	0.000159097	1.95E-05	8.62E-05	0	4.92E-05	0.000533072	0.003703652	0.002614741	0.001088912	1.36E-20	0.001088912	0
IRPA-000017	0.021270834	0.03642309	0.296352791	0.636282281	0.005224783	0	0.004446221	0.034381699	0	0	0	0.007683511	0.023010638	0.290065148	0.149042553	0.002081383	0	0.001101064	0.472984297	0.061041235	0.055728808	0.005312427	2.78E-17	0.005312427	0
IRPA-000018	0.057824639	0.202475788	0.165782763	0.533372041	0.022595624	0	0.017949145	0.034147953	0	0	0	0.005941931	0.036388526	0.046159957	0.035541045	0.002560634	0	0.001264459	0.127856552	0.031566256	0.030038219	0.001528037	6.94E-18	0.001528037	0
IRPA-000019	0.128551842	0.210161317	0.115448475	0.477987261	0.044079362	0	0.023771743	0.185363247	0	0	0	0.002464856	0.007047623	0.005998087	0.005943124	0.000932088	0	0.000312479	0.022698257	0.002209978	0.000754742	0.001455235	0	0.001455235	0
IRPA-000020	0.12455692	0.218891318	0.114209618	0.442823027	0.069993787	0	0.02952533	0.193105602	0	0	0	0.000929321	0.002856295	0.002308936	0.002142463	0.000575925	0	0.000151022	0.008963961	0.00496329	0.004097454	0.000865836	0	0.000865836	0
IRPA-000021	0.09406942	0.174645495	0.162936926	0.431585925	0.110521624	0	0.026240609	0.448984568	0	0	0	0.000349332	0.001134291	0.001639537	0.001039305	0.000452633	0	6.68E-05	0.004681903	0.001176412	0.000128608	0.001047804	2.17E-19	0.001047804	0
IRPA-000022	0.055526467	0.145912392	0.199040761	0.375897919	0.223622461	0	0	0.521888302	0.037893517	0.095595153	0	8.43E-05	0.000387352	0.000818635	0.000369992	0.000374336	0	0	0.002034598	0.000976922	0	0.000976922	0.000163688	0.000778935	0.000213637
IRPA-000023	0.014790654	0.010061201	0.318087059	0.636982736	0.016113466	0	0.003964885	0.042881525	0	0	0	0.00804531	0.009571542	0.468827161	0.224682035	0.009666137	0	0.001478537	0.722270723	0.058112425	0.048368948	0.009743477	0	0.009743477	0
IRPA-000024	0.018176076	0.160504267	0.227121841	0.515395031	0.040076576	0	0.038726209	0	0	0	0	0.001186503	0.018324499	0.040173445	0.021816965	0.002885147	0	0.001733086	0.086119645	0.023400619	0.023711519	-0.0003109	Pathway I	Pathway I	Pathway I
IRPA-000025	0.050154552	0.215066369	0.171138975	0.436248793	0.083532542	0	0.043858768	0.141552434	0	0	0	0.000678256	0.00508666	0.0062711	0.00382563	0.001245798	0	0.000406618	0.017514063	0.005731315	0.004735733	0.000995583	0	0.000995583	0
IRPA-000026	0.047716093	0.180977224	0.195341235	0.403189246	0.129365861	0	0.04341034	0.233372183	0	0	0	0.000336759	0.002233857	0.003735598	0.001845224	0.001006892	0	0.000210036	0.009368367	0.00682861	0.005576713	0.001251897	0	0.001251897	0
IRPA-000027	0.031858346	0.166238055	0.215409581	0.40276054	0.141311936	0	0.042421543	0.299974814	0	0	0	0.000186484	0.001701871	0.003416614	0.001528804	0.000912235	0	0.000170236	0.007916244	0.003573539	0.002381441	0.001192099	0	0.001192099	0
IRPA-000028	0.018537629	0.139244771	0.228145066	0.486704481	0.127368052	0	0	0.401077843	0.056586223	0.042522189	0	9.12E-05	0.001197953	0.003040932	0.001552512	0.000690961	0	0	0.006573547	0.001653969	0	0.001653969	0.000166647	0.001370097	0.000217498
IRPA-000029	0.000239952	0.00021723	0.359754424	0.26950637	0.290104388	0	0.080177636	0.04485669	0.042243574	0	0	0.000117417	0.00018591	0.477005871	0.085518591	0.156555773	0	0.026897121	0.746280682	0.015372938	0	0.015372938	2.77556E-17	0.009784736	0
IRPA-000030	0.0051554	0.002947716	0.328201139	0.616139093	0.046747003	0	0.000809649	0.314633184	0.020938189	0	0	0.0025	0.0025	0.43125	0.19375	0.025	0	0.000269166	0.655269166	0.089730834	0	0.089730834	0	0.08625	0
IRPA-000031	0.020642971	0.005901542	0.44779104	0.116723514	0.012478787	0	0.396462146	0.21918855	0	0	0	0.000562324	0.000281162	0.033052277	0.002061856	0.000374883	0	0.007403936	0.043736438	0.047172653	0.039890451	0.007282202	4.33681E-19	0.007282202	0
IRPA-000032	0.003001999	0.007437995	0.366756447	0.160486053	0.341168178	0	0.121149329	0.232262249	0	0	0	0.000140713	0.000609756	0.046581415	0.004878049	0.017636023	0	0.003893058	0.073739014	0.008343538	0.002185908	0.00615763	0	0.00615763	0
IRPA-000033	0.076034176	0.104338213	0.242660518	0.281406947	0.206833815	0	0.088726331	0.627360213	0	0	0	0.000154655	0.000371172	0.001337414	0.000371172	0.000463965	0	0.000123724	0.002822103	0.005993238	0.003145695	0.002847543	0	0.002847543	0
IRPA-000034	0.022976249	0.026274377	0.339599839	0.212591115	0.281257648	0	0.117300771	0.696010401	0	0	0	5.80E-05	0.000115908	0.002321051	0.000347725	0.000782382	0	0.00020284	0.003827861	0.00367721	0.000776176	0.002901034	2.17E-19	0.002901034	0
IRPA-000035	0.057780595	0.049556038	0.317963691	0.222759762	0.183375578	0	0.168564337	0.322195456	0	0	0	4.20E-05	6.30E-05	0.000626118	0.000104976	0.000146966	0	8.40E-05	0.001067017	0.014091497	0.012234346	0.001857151	0	0.001857151	0
IRPA-000036	0.102163979	0.058414559	0.300792164	0.315095732	0	0	0.223533567	0.847907811	0	0	0	5.19E-05	5.19E-05	0.000413891	0.000103761	0	0	7.78E-05	0.000699234	0.003165876	0.00073689	0.002428986	1.35525E-20	0.002428986	0
IRPA-000037	0.055011687	0.031454173	0.284231132	0.254501849	0.349176045	0	0.025625115	0.8959442	0.041253559	0	0	2.10E-05	2.10E-05	0.000293932	6.30E-05	0.000146966	0	6.70E-06	0.000552579	0.002071817	0	0.002071817	2.71E-20	0.002015536	0
IRPA-000038	0.015951354	0.117553709	0.251224056	0.292451294	0.302137292	0	0.020682295	0.335882473	0	0	0	0.000151184	0.001948597	0.006451811	0.001797413	0.003158072	0	0.000134386	0.013641463	0.017502498	0.013734534	0.003767963	8.67E-19	0.003767963	0
IRPA-000039	0.036776254	0.15560463	0.222960745	0.317592505	0.213421863	0	0.053644003	0.604577083	0	0	0	9.51E-05	0.00070369	0.001562146	0.000532522	0.000608596	0	9.51E-05	0.003597141	0.002945271	0.001047466	0.001897805	0	0.001897805	0
IRPA-000040	0.060575547	0.199153754	0.182270228	0.326949079	0.164782104	0	0.066269287	0.760903147	0	0	0	4.83E-05	0.000277912	0.000394066	0.000169164	0.000144998	0	3.62E-05	0.001070722	0.00140632	0.000263492	0.001142829	0	0.001142829	0
IRPA-000041	0.241604589	0.293532084	0	0.276389762	0.11820022	0.057180653	0.013092692	0.021508975	0	0	0	0.007750694	0.016469017	0	0.005749666	0.00418179	0.002073678	0.000287946	0.03651279	0.227399552	0.225725565	0.001673988	0	0.001673988	0
IRPA-000042	0.247893386	0.290330918	0	0.26427538	0.121051708	0.052376688	0.02407192	0.0213194	0	0	0	0.002806179	0.005748049	0	0.001939959	0.001511228	0.000670263	0.000186813	0.012862491	0.17285705	0.171681074	0.001175976	0	0.001175976	0
IRPA-000043	0.256136359	0.268299508	0	0.298814231	0.127878166	0.026395001	0.022476735	0.048400218	0	0	0	0.002856811	0.005233676	0	0.002161209	0.001572951	0.000332804	0.000171866	0.012329316	0.114622243	0.112765651	0.001856592	8.67E-19	0.001856592	0
IRPA-000044	0.245893638	0.309060931	0	0.236447369	0.098688923	0.102329757	0.007579382	0.030265967	0	0	0	0.007642761	0.016800561	0	0.004765657	0.003382828	0.00359552	0.000161504	0.03634883	0.241159475	0.23866238	0.002497095	0	0.002497095	0
IRPA-000045	0.229640446	0.322248529	0	0.228818063	0.115515013	0.089440289	0.014337661	0.034263323	0	0	0	0.007161687	0.017576589	0	0.004627458	0.003972958	0.003153239	0.000306543	0.036798473	0.150901791	0.149000411	0.001901381	0	0.001901381	0
IRPA-000046	0.234393392	0.31360566	0	0.236720883	0.11928196	0.081043997	0.014954107	0.048388207	0	0	0	0.007616843	0.017823387	0	0.004988288	0.004274772	0.002977195	0.000333147	0.038013633	0.064204809	0.06275363	0.001451179	0	0.001451179	0
IRPA-000047	0.223725138	0.3263159	0	0.242813304	0.107063582	0.098351204	0.001730873	0.051371295	0	0	0	0.006975455	0.017793962	0	0.004909254	0.003681358	0.003466523	3.70E-05	0.036863549	0.195583911	0.191998176	0.003585735	0	0.003585735	0
IRPA-000048	0.219696259	0.341682586	0	0.204696291	0.111167174	0.112068444	0.010689246	0.043142972	0	0	0	0.008816703	0.023981874	0	0.005326952	0.004920041	0.005084212	0.000294088	0.04842387	0.141012857	0.138599044	0.002413814	0	0.002413814	0
IRPA-000049	0.223576968	0.329478559	0	0.216904122	0.123929296	0.095886012	0.010225043	0.061646699	0	0	0	0.009386767	0.024193174	0	0.005905301	0.005738145	0.004550939	0.000294307	0.050068633	0.0798694	0.07750815	0.00236125	1.73E-18	0.00236125	0
IRPA-000050	0.272609268	0.29003149	0	0.225885405	0.086192322	0.112466504	0.012815011	0.05007909	0	0	0	0.010785486	0.02006878	0	0.005795255	0.003760766	0.005030128	0.000347588	0.045788003	0.220404182	0.216382667	0.004021515	0	0.004021515	0
IRPA-000051	0.252806982	0.308480535	0	0.196968313	0.119169137	0.103155553	0.019419481	0	0	0	0	0.01357882	0.028978601	0	0.006860481	0.007059035	0.006263575	0.000715084	0.063455596	0.166872391	0.167532269	-0.000659878	Pathway I	Pathway I	Pathway I
IRPA-000052	0.256203899	0.306365895	0	0.196786086	0.115504532	0.104752526	0.020387063	0.034558134	0	0	0	0.013660963	0.02857016	0	0.006804171	0.006792086	0.006314178	0.000745241	0.062886798	0.086962186	0.085454797	0.001507389	0	0.001507389	0
IRPA-000053	0.272116673	0.292548692	0	0.224462599	0.081541305	0.125595205	0.003735525	0.041095487	0	0	0	0.009293308	0.017473907	0	0.004971007	0.003071152	0.004848919	8.75E-05	0.039745754	0.261075096	0.257361003	0.003714094	0	0.003714094	0
IRPA-000054	0.265022116	0.288831913	0	0.235240881	0.103197032	0.100770595	0.006937464	0.054738	0	0	0	0.002068769	0.003943226	0	0.00119077	0.000888394	0.000889243	3.71E-05	0.009017527	0.067133147	0.065868765	0.001264382	0	0.001264382	0
IRPA-000055	0.205892731	0.345308098	0	0.214171846	0.132225667	0.091412819	0.010988839	0.16439966	0	0	0	0.001867564	0.005477949	0	0.001259744	0.001322692	0.000937343	6.83E-05	0.010933625	0.021749709	0.020033408	0.0017163	0	0.0017163	0
IRPA-000056	0.237630452	0.337395535	0	0.186819276	0.088102764	0.148736821	0.001315153	0.041089671	0	0	0	0.007194104	0.017864491	0	0.003667597	0.002941526	0.005090376	2.73E-05	0.03678539	0.26249691	0.258810515	0.003686396	8.67E-19	0.003686396	0
IRPA-000057	0.234810262	0.341301788	0	0.174250221	0.09741363	0.151066253	0.001157847	0.03522455	0	0	0	0.008801451	0.022374456	0	0.004235414	0.004026851	0.0064012	2.98E-05	0.045869125	0.30770446	0.303991473	0.003712988	0	0.003712988	0
IRPA-000058	0.23681413	0.337009274	0	0.17075809	0.107771699	0.143096611	0.004550196	0.045380704	0	0	0	0.011747099	0.029237589	0	0.005492747	0.005895712	0.008024335	0.000154739	0.060552221	0.151865574	0.149015353	0.002850221	0.00E+00	0.002850221	0
IRPA-000059	0.237063293	0.32579444	0	0.130263913	0.181162888	0.091018053	0.034697414	0	0	0	0	0.006158711	0.014802867	0	0.002194496	0.005190429	0.002673066	0.000617972	0.031637542	0.003768868	0.003757018	1.19E-05	Pathway I	Pathway I	Pathway I
IRPA-000060	0.186032088	0.352283835	0	0.099955196	0.285097037	0.066420849	0.010210996	0	0	0	0	0.003922768	0.012991947	0	0.00136677	0.006629886	0.00158331	0.000147611	0.026642293	0.002333297	0.002375117	-4.18E-05	Pathway I	Pathway I	Pathway I
IRPA-000061	0.243282778	0.28727053	0	0.180877111	0.227462965	0.049949457	0.011157159	0.053044645	0	0	0	0.003759732	0.007764497	0	0.001812652	0.003876723	0.000872636	0.000118208	0.018204449	0.000979453	0.000708169	0.000271283	8.67E-19	0.000271283	0
IRPA-000062	0.239750188	0.293544335	0	0.179294857	0.220821573	0.055346353	0.011242694	0.044712819	0	0	0	0.003246473	0.006951895	0	0.001574367	0.003297637	0.000847225	0.000104369	0.016021965	0.000361512	0.000168147	0.000193366	8.67E-19	0.000193366	0
IRPA-000063	0.117154739	0.488573849	0	0.0851197	0.097694536	0.185919235	0.025537941	0	0	0	0	0.019608493	0.143018189	0	0.009238463	0.018032801	0.035177536	0.00293033	0.228005812	0.002895041	0.003509475	-0.000614434	Pathway I	Pathway I	Pathway I
IRPA-000064	0.176335882	0.414113585	0	0.104774041	0.123877559	0.134701065	0.046197868	0.506294671	0	0	0	0.000159769	0.000656217	0	6.16E-05	0.000123781	0.000137968	2.87E-05	0.00116799	0.000485007	0.000134352	0.000350656	0	0.000350656	0
IRPA-000065	0.11784177	0.113912802	0.188028462	0.137357139	0.415265297	0	0.02759453	0.165300343	0	0	0	8.02E-05	0.000135559	0.000346669	6.06E-05	0.000311612	0	1.29E-05	0.0009475	0.013052098	0.012289354	0.000762744	5.42E-20	0.000762744	0
IRPA-000066	0.227867341	0.378704633	0	0.080319085	0.099964993	0.152998872	0.060145076	0.787855968	0	0	0	5.47E-05	0.000159025	0	1.25E-05	2.65E-05	4.15E-05	9.90E-06	0.000304137	0.000602804	0.000141927	0.000460877	0	0.000460877	0
IRPA-000067	0.166265036	0.378454275	0.010636269	0.219176539	0.104120454	0	0.121347428	0.172718698	0	0	0	0.000173961	0.000692534	3.02E-05	0.000148707	0.000120142	0	8.70E-05	0.00125254	0.036576686	0.034392974	0.002183712	0	0.002183712	0
IRPA-000068	0.105002199	0.198801446	0.166366683	0.267688751	0.155433582	0	0.106707338	0.30227904	0	0	0	4.62E-05	0.000152926	0.000198273	7.63E-05	7.54E-05	0	3.22E-05	0.000581301	0.003003127	0.002602633	0.000400494	0	0.000400494	0
IRPA-000069	0.494174614	0.084684891	0	0.157973277	0.105448209	0.157590845	0.000128165	0	0	0	0	0.001217321	0.000364844	0	0.000252344	0.000286466	0.000438846	2.16E-07	0.002560038	0.004047956	0.003994974	5.30E-05	Pathway I	Pathway I	Pathway I
IRPA-000070	0.220856895	0.016934088	0.195336697	0.252763757	0.25251651	0	0.061592054	0.737270647	0	0	0	3.08E-05	4.12E-06	7.37E-05	2.28E-05	3.88E-05	0	5.88E-06	0.000176078	0.00095964	0.000449494	0.000510146	0	0.000510146	0
IRPA-000071	0.141399744	0.221788812	0.100218302	0.383580895	0.125980229	0	0.027032018	0.34648551	0	0	0	4.66E-05	0.000127834	8.95E-05	8.20E-05	4.58E-05	0	6.11E-06	0.000397794	0.002899799	0.002460156	0.000439642	0.00E+00	0.000439642	0
IRPA-000072	0.170044844	0.132179008	0.166008713	0.181070944	0.248222648	0	0.102473843	0.719406002	0	0	0	4.76E-05	6.47E-05	0.000125847	3.29E-05	7.66E-05	0	1.97E-05	0.000367188	0.000784214	0.000300365	0.000483849	0	0.000483849	0
IRPA-000073	0.161214156	0.456616396	0	0.11098263	0.035525713	0.232664782	0.002996322	0.111886012	0	0	0	0.001959738	0.009707851	0	0.000874853	0.000476262	0.003197292	2.50E-05	0.016240967	0.014272176	0.01324611	0.001026066	0	0.001026066	0
IRPA-000074	0.162747772	0.440662276	0	0.11770811	0.072061747	0.201639177	0.005180919	0.206536976	0	0	0	0.000568951	0.002694276	0	0.00026684	0.000277826	0.000796877	1.24E-05	0.004617186	0.003397688	0.002867589	0.000530099	0	0.000530099	0
IRPA-000075	0.160189621	0.450435996	0	0.16289128	0.00523187	0.191757406	0.029493827	0.563029668	0	0	0	9.76E-05	0.000480105	0	6.44E-05	3.52E-06	0.00013211	1.23E-05	0.000790052	0.00199636	0.00125087	0.00074549	1.36E-20	0.00074549	0
IRPA-000076	0.367115817	0.269369606	0	0.077566081	0.012977651	0.258092899	0.014877947	0.274889829	0	0	0	0.000422529	0.000542224	0	5.79E-05	1.65E-05	0.000335804	1.17E-05	0.00138666	0.001679301	0.001369492	0.000309809	0	0.000309809	0
IRPA-000077	0.267896451	0.342172265	0	0.146995977	0.022797874	0.188576532	0.0315609	0.077308763	0	0	0	0.003164492	0.007069009	0	0.001125972	0.000296989	0.002518149	0.000255583	0.014430194	0.023580346	0.022679662	0.000900684	2.17E-19	0.000900684	0
IRPA-000078	0.37444945	0.230197656	0	0.14271052	0.043348162	0.18687562	0.022418592	0.371043606	0	0	0	0.002525636	0.002715534	0	0.000624193	0.000322446	0.001424908	0.000103665	0.007716382	0.007171749	0.004951861	0.002219889	1.08E-19	0.002219889	0
IRPA-000079	0.288248185	0.328388296	0	0.120131766	0.02995879	0.186467646	0.046805317	0.205606566	0	0	0	0.000921493	0.001836073	0	0.00024904	0.000105623	0.000673885	0.000102581	0.003888695	0.002852309	0.002382396	0.000469914	5.42E-20	0.000469914	0
IRPA-000080	0.29628026	0.321540288	0	0.118778304	0.027760052	0.185443021	0.050198075	0.22633392	0	0	0	0.000646614	0.001227311	0	0.000168099	6.68E-05	0.00045752	7.51E-05	0.002641465	0.001526143	0.00119985	0.000326293	2.71051E-20	0.000326293	0
IRPA-000081	0.251451055	0.365675791	0	0.119177772	0.029441691	0.210793354	0.023460337	0.071673419	0	0	0	0.002622312	0.00666966	0	0.000805956	0.000338612	0.002485103	0.00016773	0.013089373	0.018090253	0.017413608	0.000676645	0	0.000676645	0
IRPA-000082	0.291741167	0.316317368	0	0.09633248	0.079491914	0.173969607	0.042147464	0.061668267	0	0	0	0.000395112	0.000749243	0	8.46E-05	0.000118728	0.00026635	3.91E-05	0.001653169	0.032161202	0.03152077	0.000640432	2.71E-20	0.000640432	0
IRPA-000083	0.315272203	0.31265914	0	0.004552664	0.111653309	0.202515952	0.053346733	0.504121497	0	0	0	0.000225142	0.000390497	0	2.11E-06	8.79E-05	0.000163488	2.61E-05	0.000895285	0.001986606	0.001330688	0.000655918	0	0.000655918	0
IRPA-000084	0.272290445	0.350493262	0	0.082015239	0.04963364	0.212856815	0.032710599	0.243033656	0	0	0	0.000637117	0.001434311	0	0.000124442	0.000128077	0.00056303	5.25E-05	0.002939449	0.00403375	0.003443808	0.000589942	0	0.000589942	0
IRPA-000085	0.207977975	0.412647978	0	0.116377566	0.021744574	0.234570408	0.006681499	0.054509358	0	0	0	0.002886519	0.010016441	0	0.001047398	0.000332825	0.003680332	6.36E-05	0.018027088	0.014874003	0.014349771	0.000524232	0	0.000524232	0
IRPA-000086	0.234150491	0.376003315	0	0.098547041	0.070991543	0.207571685	0.012735926	0.246398703	0	0	0	0.000734559	0.002063004	0	0.000200475	0.00024561	0.000736133	2.74E-05	0.004007172	0.003561739	0.002926325	0.000635414	0	0.000635414	0
IRPA-000087	0.299487443	0.321294898	0	0.024771124	0.112881855	0.194167078	0.047397603	0.570222643	0	0	0	0.000175418	0.000329137	0	9.41E-06	7.29E-05	0.000128567	1.90E-05	0.00073448	0.001470406	0.000861307	0.000609099	0	0.000609099	0
IRPA-000088	0.225329332	0.38867291	0	0.084030205	0.07396307	0.200625287	0.027379196	0.341473757	0	0	0	0.000381229	0.001150082	0	9.22E-05	0.000138004	0.000383716	3.18E-05	0.002176978	0.00237294	0.001794531	0.000578409	2.71051E-20	0.000578409	0
IRPA-000089	0.001756404	0.1465319	0.334909134	0.001660413	0.213838137	0	0.301304011	0.013746732	0.006985522	0	0	0.00068734	0.100289642	0.355128517	0.000421355	0.092287084	0	0.080834811	0.62964875	0.003323117	0	0.003323117	0	0.002540281	0
IRPA-000090	0.114266962	0.041748829	0.266137704	0.204029388	0.263372422	0	0.110444694	0.165965376	0	0	0	0.000678341	0.000433459	0.004280996	0.000785426	0.001724273	0	0.000449488	0.008351982	0.009311138	0.008361731	0.000949406	0	0.000949406	0
IRPA-000091	0.180347136	0.153775287	0.138304773	0.085216511	0.359197131	0	0.083159163	0.031838179	0	0	0	0.000854914	0.0012749	0.001776485	0.000261952	0.001877822	0	0.000270252	0.006316326	0.01602066	0.015813756	0.000206904	0	0.000206904	0
IRPA-000092	0.041726103	0.087791086	0.29933293	0.187789664	0.22632705	0	0.157033168	0.252742467	0	0	0	9.40E-05	0.000346023	0.001827862	0.000274432	0.0005625	0	0.000242614	0.003347464	0.00739515	0.006440183	0.000954967	2.17E-19	0.000954967	0
IRPA-000093	0.065925145	0.222871101	0.234672938	0.087176352	0.107743157	0	0.281611307	0.054651724	0	0	0	0.000448153	0.002649755	0.004322646	0.00038429	0.000807744	0	0.001312417	0.009925005	0.180821546	0.177630107	0.003191439	0	0.003191439	0
IRPA-000094	0.06347346	0.266959773	0.187742884	0.096052811	0.161675952	0	0.224095119	0.217227833	0	0	0	0.000187328	0.001377945	0.001501358	0.000183825	0.000526215	0	0.000453407	0.004230078	0.01823235	0.016553246	0.001679105	0	0.001679105	0
IRPA-000095	0.048698139	0.203931253	0.199955393	0.109316002	0.33297425	0	0.105124963	0.193618419	0	0	0	9.63E-05	0.000705269	0.001071368	0.000140173	0.000726128	0	0.00014251	0.002881744	0.009407233	0.008622633	0.0007846	0	0.0007846	0
IRPA-000096	0.003149942	0.000962055	0.330592002	0.529680302	0.135615699	0	0	0.052521515	0	0	0	0.000502361	0.000268342	0.142861975	0.054778742	0.023852367	0	0	0.222263787	0.14972894	0.14405372	0.00567522	0	0.00567522	0
IRPA-000097	0.005267728	0.002162815	0.3284542	0.421031316	0.242860255	0	0.000223686	0.028611122	0	0	0	0.000241848	0.000173666	0.040860626	0.012534832	0.012296566	0	7.04E-06	0.066114579	0.03356761	0.03277564	0.00079197	3.47E-18	0.00079197	0
IRPA-000098	0.045600527	0.018317467	0.290721338	0.437879464	0.207481205	0	0	0.226186361	0.007175241	0.13872685	0	0.000364586	0.000256137	0.006298235	0.002270233	0.001829439	0	0	0.011018631	0.001810019	0	0.001810019	0.000739231	0.001050577	0.000964805
IRPA-000099	0.109993317	0.118839135	0.200459338	0.409534267	0.102131026	0	0.059042917	0.33638585	0	0	0	7.43E-05	0.000140361	0.000366816	0.000179344	7.61E-05	0	2.73E-05	0.000864202	0.00367181	0.003089007	0.000582802	0	0.000582802	0
IRPA-000100	0.032159488	0.012374256	0.353012469	0.293505572	0.160843322	0	0.148104893	0.220208504	0	0	0	2.07E-05	1.39E-05	0.000615383	0.000122446	0.000114118	0	6.53E-05	0.000951883	0.006439009	0.005873645	0.000565364	2.71E-20	0.000565364	0
IRPA-000101	0.080510608	0.36280098	0.059553777	0.281204742	0.150645388	0	0.065284506	0.292388961	0	0	0	0.000149194	0.001175829	0.000299033	0.000337915	0.000307867	0	8.29E-05	0.002352778	0.002793573	0.002273593	0.00051998	0	0.00051998	0
IRPA-000102	0.083311054	0.067077821	0.242880406	0.312614864	0.264696885	0	0.029418969	0.481766676	0.079649446	0	0	0.000103141	0.00014524	0.000814767	0.000250972	0.000361399	0	2.50E-05	0.001700487	0.000538017	0	0.000538017	1.08E-19	0.00048899	0
